outcome,gap,cluster_se,perm_p,pre_p,upward,downward,n,extreme_assignments,bh_q
ln_licenses,0.6212749113908098,0.13601176372892235,0.00945793337097685,0.620917387597709,0.28680728512900044,-0.3344676262618093,20181,1675,0.04728966685488425
filing_margin,0.38021804488039357,0.16996461030501248,0.15319593450028232,0.5572138764747501,0.16678745128712164,-0.21343059359327193,20277,27131,0.3829898362507058
ln_new_patent_apps,0.266924593596375,0.18385499059047383,0.2360248447204969,0.4496364290397724,0.15268818625399372,-0.11423640734238125,20277,41800,0.39337474120082816
ln_patents_issued,0.01868794415743014,0.22571894458706734,0.9439695087521175,0.1904995904704008,0.11405562486600346,0.09536768070857331,19821,167177,0.9439695087521175
ln_disclosures,-0.11329345128401883,0.10511887064763364,0.49897233201581026,0.3380858103434464,-0.014099265033128139,0.09919418625089069,20277,88368,0.6237154150197628
